,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
378,Huanta,75,PE,1514062800,29,-12.94,-74.25,77.0,4.7
379,Bouar,64,CF,1514067483,38,5.94,15.59,79.82,6.8
380,Sri Aman,90,MY,1514062800,94,1.24,111.46,75.2,0.81
381,Labuhan,44,ID,1514066819,91,-2.54,115.51,74.87,3.6
382,Portland,75,US,1514065980,60,45.52,-122.67,41.0,20.8
383,Ocos,20,GT,1514062800,41,14.51,-92.19,93.2,9.17
384,Halifax,90,CA,1514064600,100,44.65,-63.58,37.4,19.46
385,Pitimbu,20,BR,1514062800,74,-7.47,-34.81,80.6,10.29
386,Acari,92,BR,1514066821,70,-6.44,-36.64,77.79,9.86
387,Waipawa,0,NZ,1514066821,60,-39.94,176.59,67.76,6.85
388,Shirokiy,76,RU,1514066822,89,53.87,39.17,20.28,10.76
389,Coihaique,90,CL,1514062800,50,-45.58,-72.07,53.6,9.17
390,Faanui,0,PF,1514066823,99,-16.48,-151.75,83.64,14.56
391,Narsaq,0,GL,1514065800,49,60.91,-46.05,26.6,3.04
392,Qandala,0,SO,1514066824,100,11.47,49.87,56.01,4.5
393,Ayagoz,20,KZ,1514066826,53,47.96,80.43,-11.49,3.33
394,Corinto,48,BR,1514066826,60,-18.36,-44.46,83.01,3.11
395,Bogalusa,75,US,1514064900,76,30.79,-89.85,66.2,8.05
396,Bubaque,0,GW,1514062800,41,11.28,-15.83,75.2,3.36
397,Sitka,12,US,1514066828,48,37.17,-99.65,36.48,13.11
398,Hambantota,0,LK,1514066829,100,6.12,81.12,78.42,13.06
399,Tautira,75,PF,1514064600,62,-17.73,-149.15,89.6,12.75
400,Kathmandu,75,NP,1514065800,93,27.71,85.32,50.0,2.37
401,Bilma,0,NE,1514066950,48,18.69,12.92,58.31,15.12
402,Brandon,40,US,1514066160,72,43.59,-96.57,17.6,5.82
403,Nipawin,1,CA,1514062800,63,53.36,-104.02,-7.61,8.05
404,Bam,0,IR,1514066952,41,29.11,58.36,42.11,3.89
405,Muyezerskiy,88,RU,1514066952,87,63.93,31.65,23.43,7.81
406,Hohhot,0,CN,1514062800,57,40.81,111.65,17.6,11.18
407,Kendari,24,ID,1514066953,79,-3.99,122.52,76.62,3.89
408,Santiago del Estero,44,AR,1514066954,62,-27.8,-64.26,79.19,16.31
409,Dawei,0,MM,1514066954,79,14.07,98.19,71.85,1.99
410,Hualmay,24,PE,1514066955,68,-11.1,-77.61,73.11,4.61
411,Antofagasta,20,CL,1514062800,60,-23.65,-70.4,71.6,13.87
412,Anloga,20,GH,1514062800,64,5.79,0.9,75.2,2.24
413,Yellowknife,40,CA,1514062800,76,62.45,-114.38,-7.61,10.29
414,Khandbari,48,NP,1514066958,68,27.38,87.21,29.73,1.48
415,Tamandare,36,BR,1514066959,69,-8.28,-70.75,85.62,4.9
416,Te Anau,24,NZ,1514067080,60,-45.41,167.72,60.6,4.9
417,Privolzhskiy,0,RU,1514064600,85,55.96,48.41,21.2,11.18
418,Zeya,0,RU,1514067081,39,53.74,127.27,-26.84,2.04
419,Leirvik,88,NO,1514065800,81,59.78,5.5,44.6,16.11
420,Katobu,20,ID,1514067082,96,-4.94,122.53,82.16,6.35
421,Mersing,92,MY,1514067083,100,2.43,103.84,74.46,15.19
422,Loandjili,40,CG,1514062800,83,-4.77,11.87,80.6,3.36
423,Floro,88,NO,1514065800,86,61.6,5.03,41.0,16.11
424,Tuatapere,92,NZ,1514067084,77,-46.13,167.69,64.29,13.56
425,Barra do Garcas,24,BR,1514067085,89,-15.89,-52.26,79.59,3.11
426,Burnie,0,AU,1514067087,100,-41.05,145.91,57.32,20.56
427,Peniche,0,PT,1514066400,93,39.36,-9.38,48.2,2.24
428,Luganville,80,VU,1514067088,100,-15.51,167.18,79.37,7.25
429,Zarubino,68,RU,1514067089,100,42.65,131.06,22.35,3.56
430,Kaiserslautern,90,DE,1514066160,93,49.44,7.77,46.4,13.87
431,Tanout,0,NE,1514067090,35,14.97,8.88,66.77,16.08
432,Teeli,20,RU,1514067090,45,51.01,90.2,-10.82,2.37
433,Soloneshnoye,24,RU,1514067091,74,51.65,84.32,6.33,3.04
434,Birao,0,CF,1514067091,28,10.3,22.78,73.16,8.75
435,Sabang,64,PH,1514067212,98,13.72,123.58,78.06,9.15
436,Sayyan,0,YE,1514067212,61,15.17,44.32,25.77,2.55
437,Padang,88,ID,1514067213,100,-0.92,100.36,79.32,1.7
438,Digoin,90,FR,1514066400,87,46.48,3.98,44.6,3.0
439,Yar-Sale,80,RU,1514067215,94,66.83,70.83,17.13,13.67
440,Camacha,20,PT,1514066400,72,33.08,-16.33,60.8,6.93
441,Hobyo,44,SO,1514067216,82,5.35,48.53,76.22,23.35
442,Port Hedland,0,AU,1514066400,83,-20.31,118.58,82.4,5.82
443,Kozhevnikovo,88,RU,1514067217,90,56.26,83.98,14.43,5.57
444,Hovd,40,NO,1514065800,80,63.83,10.7,39.2,10.29
445,Sibu,75,MY,1514062800,100,2.29,111.83,75.2,1.12
446,Gubbi,0,IN,1514067219,92,13.31,76.94,58.53,5.84
447,Norman Wells,20,CA,1514066400,76,65.28,-126.83,-4.01,3.36
448,Mehamn,8,NO,1514067219,89,71.03,27.85,12.18,4.05
449,Del Rio,1,US,1514066160,27,29.36,-100.9,62.6,6.93
450,Aykhal,0,RU,1514067220,0,65.95,111.51,-40.92,2.77
451,Alice Springs,0,AU,1514066400,17,-23.7,133.88,86.0,1.12
452,Sorland,75,NO,1514065800,69,67.67,12.69,35.6,17.22
453,Kapiri Mposhi,76,ZM,1514067342,94,-13.97,28.68,68.39,4.61
454,Ballina,90,IE,1514064600,100,54.11,-9.15,50.0,16.11
455,Torbay,90,CA,1514066400,85,47.66,-52.73,24.8,5.82
456,Normandin,90,CA,1514062800,84,48.84,-72.53,-0.41,8.05
457,Inuvik,20,CA,1514066400,78,68.36,-133.71,14.0,4.7
458,Marawi,36,PH,1514067346,100,8.0,124.29,66.18,2.37
459,Voi,0,KE,1514067346,43,-3.4,38.57,72.44,6.58
460,Hailar,80,CN,1514067347,71,49.2,119.7,-3.44,8.08
461,Araci,88,BR,1514067347,53,-11.34,-38.96,83.24,12.84
462,Ornskoldsvik,0,SE,1514065800,79,63.29,18.72,26.6,8.05
463,Tura,12,IN,1514067349,94,25.52,90.21,54.44,2.37
464,Clyde River,1,CA,1514062800,67,70.47,-68.59,-23.81,4.7
465,Banyo,8,CM,1514067350,27,6.75,11.81,74.01,8.86
466,Dongtai,24,CN,1514067350,94,32.85,120.31,42.96,12.66
467,Campbell River,20,CA,1514066400,73,50.02,-125.24,37.4,2.24
468,Muzhi,80,RU,1514067351,90,65.4,64.7,16.77,9.82
469,Rio Cuarto,0,AR,1514062800,40,-33.13,-64.35,73.4,18.34
470,Rodrigues Alves,75,BR,1514062800,83,-7.74,-72.65,80.6,9.17
471,Langevag,75,NO,1514065800,81,62.44,6.19,42.8,16.11
472,Fortuna,75,ES,1514064600,87,38.18,-1.13,57.2,2.24
473,Mae Sai,0,MM,1514062800,100,20.44,99.89,51.8,2.24
474,Valparaiso,1,US,1514064900,74,41.47,-87.06,33.8,10.29
475,Pevek,56,RU,1514067477,100,69.7,170.27,-8.39,9.93
476,Lamu,12,ID,1514067264,100,0.57,122.3,73.02,1.1
477,Immokalee,1,US,1514065980,73,26.42,-81.42,77.0,8.05
478,Ishigaki,75,JP,1514062800,88,24.34,124.16,71.6,2.24
479,Mareeba,75,AU,1514066400,61,-16.99,145.42,82.4,8.05
480,Tehri,68,IN,1514067480,62,30.38,78.48,33.29,2.04
481,Galle,1,US,1514066160,50,29.74,-97.91,59.0,3.36
482,Ngozi,8,BI,1514067481,86,-2.91,29.82,56.73,4.05
483,Ushibuka,88,JP,1514067482,100,32.19,130.02,48.54,5.79
484,Grand Baie,20,MU,1514062800,88,-20.02,57.58,75.2,6.93
485,Huanta,75,PE,1514062800,29,-12.94,-74.25,77.0,4.7
486,Bouar,64,CF,1514067483,38,5.94,15.59,79.82,6.8
487,La Romana,40,DO,1514066400,100,18.43,-68.97,78.8,6.93
488,Dingle,68,PH,1514067604,96,11.0,122.67,75.59,3.56
489,Xucheng,0,CN,1514067605,80,33.0,118.51,41.39,12.66
490,Guerrero Negro,0,MX,1514067605,44,27.97,-114.04,68.12,3.89
491,Russell,40,AR,1514062800,14,-33.01,-68.8,75.2,5.82
492,Nouadhibou,48,MR,1514066400,36,20.93,-17.03,62.6,16.11
493,Port Macquarie,0,AU,1514066400,65,-31.43,152.91,80.6,2.24
494,Hudiksvall,0,SE,1514067607,96,61.73,17.1,35.22,16.8
495,Houma,0,CN,1514067608,45,35.63,111.36,25.77,9.15
496,Agirish,80,RU,1514067609,74,61.92,63.02,16.82,7.74
497,Mischii,0,RO,1514066400,94,44.39,23.86,32.0,9.17
498,Pearl Lagoon,75,NI,1514062800,78,12.34,-83.67,82.4,6.93
499,Kisarazu,75,JP,1514064600,60,35.36,139.97,42.8,5.82
500,Bambanglipuro,12,ID,1514067611,97,-7.95,110.28,63.12,2.77
501,Baloda Bazar,0,IN,1514067611,79,21.65,82.17,52.37,2.77
502,Shubarshi,80,KZ,1514067612,74,48.59,57.19,9.89,3.33
503,Millinocket,90,US,1514065680,92,45.66,-68.71,28.4,5.82
504,Pahrump,1,US,1514066100,12,36.21,-115.98,51.8,6.93
505,Road Town,40,VG,1514066400,74,18.42,-64.62,80.6,19.46
